#
#    Name:     cp853_DOSLatin3 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Contact: Shawn.Steele@microsoft.com
#                   
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp853_DOSLatin3 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp853_DOSLatin3 order
#
# DOSBox-X: This has been modified to reflect the actual character codes on IBM PC MS-DOS CP437
0x00	0x0000	#NULL
0x01	0x263A	#START OF HEADING
0x02	0x263B	#START OF TEXT
0x03	0x2665	#END OF TEXT
0x04	0x2666	#END OF TRANSMISSION
0x05	0x2663	#ENQUIRY
0x06	0x2660	#ACKNOWLEDGE
0x07	0x2022	#BELL
0x08	0x25D8	#BACKSPACE
0x09	0x25CB	#HORIZONTAL TABULATION
0x0a	0x25D9	#LINE FEED
0x0b	0x2642	#VERTICAL TABULATION
0x0c	0x2640	#FORM FEED
0x0d	0x266A	#CARRIAGE RETURN
0x0e	0x266B	#SHIFT OUT
0x0f	0x263C	#SHIFT IN
0x10	0x25BA	#DATA LINK ESCAPE
0x11	0x25C4	#DEVICE CONTROL ONE
0x12	0x2195	#DEVICE CONTROL TWO
0x13	0x203C	#DEVICE CONTROL THREE
0x14	0x00B6	#DEVICE CONTROL FOUR
0x15	0x00A7	#NEGATIVE ACKNOWLEDGE
0x16	0x25AC	#SYNCHRONOUS IDLE
0x17	0x21A8	#END OF TRANSMISSION BLOCK
0x18	0x2191	#CANCEL
0x19	0x2193	#END OF MEDIUM
0x1a	0x2192	#SUBSTITUTE
0x1b	0x2190	#ESCAPE
0x1c	0x221F	#FILE SEPARATOR
0x1d	0x2194	#GROUP SEPARATOR
0x1e	0x25B2	#RECORD SEPARATOR
0x1f	0x25BC	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x0021	#EXCLAMATION MARK
0x22	0x0022	#QUOTATION MARK
